DATE,Italy,US,UK,France,Denmark,Germany,Switzerland,Finland
1/1/1970,100,100,100,100,100,100,100,100
2/1/1970,100.81448,100.5277,100.51661,100.30644,100.71276,100.22272,100,100.26478
3/1/1970,101.17647,101.05541,101.10701,100.61287,101.28297,100.66815,100.18162,100.52957
4/1/1970,101.62896,101.58311,102.65683,101.1236,101.56807,101.11359,100.08949,100.79435
5/1/1970,102.08145,101.84697,102.95203,101.53218,102.49465,101.11359,101.08447,100.79435
6/1/1970,102.26244,102.37467,103.24723,101.94076,102.56593,101.3363,101.53721,101.1474
7/1/1970,102.44344,102.63852,103.98524,102.14505,104.63293,101.3363,101.80832,101.32392
8/1/1970,102.62443,102.90237,103.91144,102.55363,104.84676,101.3363,102.16893,101.5887
9/1/1970,103.25792,103.43008,104.42804,102.96221,105.77334,101.3363,102.8033,101.67696
10/1/1970,103.71041,103.95778,105.53506,103.37079,106.05845,101.78174,103.34553,101.85349
11/1/1970,104.52489,104.48549,106.27306,103.77937,106.7712,102.22717,104.70111,102.11827
12/1/1970,104.88688,105.01319,107.01107,104.0858,106.69993,102.89532,105.15385,102.29479
1/1/1971,105.21716,105.27704,108.48708,104.69867,106.69993,104.00891,105.78821,103.53045
2/1/1971,105.62696,105.27704,109.07749,105.2094,106.69993,104.89978,106.24095,104.3248
3/1/1971,106.03676,105.5409,109.9631,105.61798,106.7712,105.34521,106.87268,104.85437
4/1/1971,106.34412,105.80475,112.32472,106.23085,107.84034,106.01336,106.96218,105.56046
5/1/1971,106.95882,106.33245,113.06273,106.94586,109.55096,106.23608,108.13614,105.9135
6/1/1971,107.06127,106.86016,113.87454,107.35444,109.90734,106.68151,108.22563,107.94351
7/1/1971,107.36863,107.12401,114.53875,107.86517,110.04989,107.12695,108.681,108.47308
8/1/1971,107.57353,107.38786,114.61255,108.27375,110.47755,107.12695,108.85999,109.44395
9/1/1971,108.29069,107.65172,114.76015,108.78447,111.26158,107.34967,109.67334,110.32657
10/1/1971,108.80294,107.91557,115.42435,109.39734,111.76051,107.7951,110.12608,110.50309
11/1/1971,109.3152,108.17942,116.08856,109.80592,112.54455,108.01782,111.57379,110.9444
12/1/1971,109.725,108.44327,116.67897,110.31665,112.82965,108.46325,112.11603,111.20918
1/1/1972,110.1348,108.70712,117.34317,110.62308,112.9722,109.79955,112.83725,110.15004
2/1/1972,110.74951,109.23483,117.93358,111.23596,113.47113,110.24499,113.38212,111.06988
3/1/1972,111.05686,109.23483,118.30258,111.74668,114.25517,110.91314,113.6506,111.75975
4/1/1972,111.26176,109.49868,119.40959,112.15526,115.0392,111.35857,113.74273,113.59942
5/1/1972,112.28627,109.76253,120,112.76813,116.17962,111.35857,114.91932,114.40427
6/1/1972,112.90098,110.02639,120.81181,113.381,116.96365,111.80401,115.55368,114.86419
7/1/1972,113.31078,110.29024,121.18081,114.30031,117.17748,112.69488,115.64318,115.899
8/1/1972,114.02794,110.55409,122.14022,114.91318,117.60513,112.69488,116.09329,116.24394
9/1/1972,115.1549,111.08179,122.80443,115.62819,118.53172,113.80846,117.08826,116.93382
10/1/1972,116.38431,111.34565,124.50185,116.64964,119.38703,114.2539,118.17273,117.39373
11/1/1972,117.30637,111.87335,124.94465,117.36466,120.38489,114.92205,119.1677,118.31357
12/1/1972,117.81863,112.1372,125.60886,117.97753,120.81254,115.36748,119.80206,118.54352
1/1/1973,119.04804,112.66491,126.42066,117.97753,121.02637,116.70379,121.15764,119.69332
2/1/1973,120.3799,113.45646,127.23247,118.28396,122.30934,117.37194,121.97099,120.49817
3/1/1973,121.71176,114.51187,127.97048,118.89683,123.0221,118.26281,122.96333,121.18804
4/1/1973,122.94118,115.30343,130.4059,119.71399,124.66144,118.93096,123.23708,122.68277
