DATE,UK_INF
1/1/1970,100
2/1/1970,100.51661
3/1/1970,101.10701
4/1/1970,102.65683
5/1/1970,102.95203
6/1/1970,103.24723
7/1/1970,103.98524
8/1/1970,103.91144
9/1/1970,104.42804
10/1/1970,105.53506
11/1/1970,106.27306
12/1/1970,107.01107
1/1/1971,108.48708
2/1/1971,109.07749
3/1/1971,109.9631
4/1/1971,112.32472
5/1/1971,113.06273
6/1/1971,113.87454
7/1/1971,114.53875
8/1/1971,114.61255
9/1/1971,114.76015
10/1/1971,115.42435
11/1/1971,116.08856
12/1/1971,116.67897
1/1/1972,117.34317
2/1/1972,117.93358
3/1/1972,118.30258
4/1/1972,119.40959
5/1/1972,120
6/1/1972,120.81181
7/1/1972,121.18081
8/1/1972,122.14022
9/1/1972,122.80443
10/1/1972,124.50185
11/1/1972,124.94465
12/1/1972,125.60886
1/1/1973,126.42066
2/1/1973,127.23247
3/1/1973,127.97048
4/1/1973,130.4059
5/1/1973,131.36531
6/1/1973,132.02952
7/1/1973,132.61993
8/1/1973,132.98893
9/1/1973,134.16974
10/1/1973,136.82657
11/1/1973,137.85978
12/1/1973,138.89299
1/1/1974,141.54982
2/1/1974,143.95616
3/1/1974,145.23011
4/1/1974,150.18435
5/1/1974,152.3076
6/1/1974,153.86465
7/1/1974,155.28015
8/1/1974,155.4217
9/1/1974,157.1203
10/1/1974,160.23439
11/1/1974,163.06539
12/1/1974,165.47173
1/1/1975,169.71823
2/1/1975,172.54923
3/1/1975,175.94642
4/1/1975,182.74081
5/1/1975,190.3845
6/1/1975,194.0648
7/1/1975,196.04649
8/1/1975,197.17889
9/1/1975,198.87749
10/1/1975,201.70849
11/1/1975,204.11483
12/1/1975,206.66273
1/1/1976,209.35218
2/1/1976,212.04162
3/1/1976,213.17402
4/1/1976,217.27897
5/1/1976,219.68531
6/1/1976,220.81771
7/1/1976,221.24236
8/1/1976,224.35646
9/1/1976,227.329
10/1/1976,231.43395
11/1/1976,234.68959
12/1/1976,237.80369
1/1/1977,244.03188
2/1/1977,246.43823
3/1/1977,248.84458
4/1/1977,255.21432
5/1/1977,257.19601
6/1/1977,259.88546
7/1/1977,260.16856
8/1/1977,261.44251
9/1/1977,262.85801
10/1/1977,263.99041
11/1/1977,265.26435
12/1/1977,266.67985
1/1/1978,268.2369
2/1/1978,269.79395
3/1/1978,271.49255
4/1/1978,275.45594
5/1/1978,277.01299
6/1/1978,279.13624
7/1/1978,280.41018
8/1/1978,282.25033
9/1/1978,283.38273
10/1/1978,284.65668
11/1/1978,286.63838
12/1/1978,289.04472
1/1/1979,293.29122
2/1/1979,295.69756
3/1/1979,298.10391
4/1/1979,303.1997
5/1/1979,305.60605
6/1/1979,310.84339
7/1/1979,324.29063
8/1/1979,326.83852
9/1/1979,330.09417
10/1/1979,333.49137
11/1/1979,336.46391
12/1/1979,338.87026
1/1/1980,347.2217
2/1/1980,352.17594
3/1/1980,356.98863
4/1/1980,369.16192
5/1/1980,372.55911
6/1/1980,376.09786
7/1/1980,379.21196
8/1/1980,380.06125
9/1/1980,382.4676
10/1/1980,384.87395
11/1/1980,387.98804
12/1/1980,390.11129
1/1/1981,392.51764
2/1/1981,396.05638
3/1/1981,402.00148
4/1/1981,413.60856
5/1/1981,416.29801
6/1/1981,418.70435
7/1/1981,420.5445
8/1/1981,423.6586
9/1/1981,426.06494
10/1/1981,429.88679
11/1/1981,434.41638
12/1/1981,437.10583
1/1/1982,439.65373
2/1/1982,439.79528
3/1/1982,443.61712
4/1/1982,452.53476
5/1/1982,455.79041
6/1/1982,457.06435
7/1/1982,457.2059
8/1/1982,457.34745
9/1/1982,457.06435
10/1/1982,459.32915
11/1/1982,461.59395
12/1/1982,460.74465
1/1/1983,461.31085
2/1/1983,463.29255
3/1/1983,464.14185
4/1/1983,470.65314
5/1/1983,472.63483
6/1/1983,473.76723
7/1/1983,476.31513
8/1/1983,478.43838
9/1/1983,480.56162
10/1/1983,482.26022
11/1/1983,483.95882
12/1/1983,485.23277
1/1/1984,484.94967
2/1/1984,486.93137
3/1/1984,488.48841
4/1/1984,494.9997
5/1/1984,496.83985
6/1/1984,498.1138
7/1/1984,497.5476
8/1/1984,502.21875
9/1/1984,503.20959
10/1/1984,506.32369
11/1/1984,507.88074
12/1/1984,507.45609
1/1/1985,509.29624
2/1/1985,513.20531
3/1/1985,518.23126
4/1/1985,529.40003
5/1/1985,531.63379
6/1/1985,532.75067
7/1/1985,531.63379
8/1/1985,533.30911
9/1/1985,532.75067
10/1/1985,533.86755
11/1/1985,535.54286
12/1/1985,536.1013
1/1/1986,537.21818
2/1/1986,539.45193
3/1/1986,540.01037
4/1/1986,545.59476
5/1/1986,546.1532
6/1/1986,546.1532
7/1/1986,544.47788
8/1/1986,546.1532
9/1/1986,548.94539
10/1/1986,550.06227
11/1/1986,554.52978
12/1/1986,556.2051
1/1/1987,558.43886
2/1/1987,560.67261
3/1/1987,561.78949
4/1/1987,568.49075
5/1/1987,569.04919
6/1/1987,569.04919
7/1/1987,568.49075
8/1/1987,570.16607
9/1/1987,571.84139
10/1/1987,574.63358
11/1/1987,577.42578
12/1/1987,576.86734
1/1/1988,576.86734
2/1/1988,578.09733
3/1/1988,580.55732
4/1/1988,587.93729
5/1/1988,590.39728
6/1/1988,592.85726
7/1/1988,592.85726
8/1/1988,596.54725
9/1/1988,599.00724
10/1/1988,602.69722
11/1/1988,606.3872
12/1/1988,606.3872
1/1/1989,608.84719
2/1/1989,611.30718
3/1/1989,614.99716
4/1/1989,621.14713
5/1/1989,626.06711
6/1/1989,627.2971
7/1/1989,627.2971
8/1/1989,628.5271
9/1/1989,633.44708
10/1/1989,638.36705
11/1/1989,640.82704
12/1/1989,642.05704
1/1/1990,644.51703
2/1/1990,650.667
3/1/1990,653.12699
4/1/1990,669.11691
5/1/1990,676.49688
6/1/1990,678.95687
7/1/1990,678.95687
8/1/1990,685.10684
9/1/1990,691.25681
10/1/1990,697.40678
11/1/1990,699.86677
12/1/1990,701.09676
1/1/1991,701.09676
2/1/1991,703.55675
3/1/1991,707.24674
4/1/1991,722.00667
5/1/1991,728.15664
6/1/1991,731.84662
7/1/1991,729.38663
8/1/1991,736.7666
9/1/1991,739.22659
10/1/1991,742.91657
11/1/1991,744.14657
12/1/1991,746.60655
1/1/1992,744.14657
2/1/1992,747.83655
3/1/1992,751.52653
4/1/1992,760.13649
5/1/1992,765.05647
6/1/1992,765.05647
7/1/1992,762.59648
8/1/1992,763.82647
9/1/1992,766.28646
10/1/1992,768.74645
11/1/1992,768.74645
12/1/1992,769.97645
1/1/1993,767.51646
2/1/1993,771.20644
3/1/1993,774.89642
4/1/1993,779.8164
5/1/1993,782.27639
6/1/1993,782.27639
7/1/1993,779.8164
8/1/1993,783.50638
9/1/1993,787.19637
10/1/1993,787.19637
11/1/1993,784.73638
12/1/1993,787.19637
1/1/1994,787.19637
2/1/1994,789.65636
3/1/1994,792.11634
4/1/1994,798.26632
5/1/1994,800.7263
6/1/1994,800.7263
7/1/1994,795.80633
8/1/1994,800.7263
9/1/1994,801.9563
10/1/1994,800.7263
11/1/1994,801.9563
12/1/1994,805.64628
1/1/1995,805.64628
2/1/1995,808.10627
3/1/1995,811.79625
4/1/1995,816.71623
5/1/1995,820.40621
6/1/1995,821.63621
7/1/1995,819.17622
8/1/1995,822.8662
9/1/1995,826.55619
10/1/1995,825.32619
11/1/1995,825.32619
12/1/1995,830.24617
1/1/1996,829.01617
2/1/1996,832.70616
3/1/1996,835.16615
4/1/1996,840.08612
5/1/1996,843.77611
6/1/1996,845.0061
7/1/1996,840.08612
8/1/1996,845.0061
9/1/1996,848.69608
10/1/1996,849.92608
11/1/1996,851.15607
12/1/1996,853.61606
1/1/1997,851.15607
2/1/1997,852.38607
3/1/1997,853.61606
4/1/1997,857.30604
5/1/1997,860.99603
6/1/1997,862.22602
7/1/1997,860.99603
8/1/1997,864.68601
9/1/1997,867.146
10/1/1997,868.37599
11/1/1997,868.37599
12/1/1997,869.60599
1/1/1998,865.916
2/1/1998,868.37599
3/1/1998,870.83598
4/1/1998,875.75596
5/1/1998,879.44594
